name,cleaned_text,reviews.rating,sentiment
Ecco Domani174 Pinot Grigio - 750ml Bottle,fantastic white wine occasion,5.0,1
Fresh Craft174 Mango Citrus - 4pk / 250ml Bottle,tart sweetvery refreshing delicious,5.0,1
1000 Stories174 Zinfandel - 750ml Bottle,given wine delightful surprise find flavorful delicious taste new favorite,5.0,1
1000 Stories174 Zinfandel - 750ml Bottle,phenomenal wine new favorite red,5.0,1
Pink Moscato - 3l Bottle - Wine Cube153,ml bottle price two way le packaging yes please nervous good true wouldnt like wine fantastic go bit way get live near state line isnt sold state due liquor law worth,5.0,1
Beck's174 Non Alcoholic Beer - 6pk / 12oz Bottles,love beck na taste like regular ale smell like one taste great na drink friend love great head pour,5.0,1
Apothic174 Red Blend - 750ml Bottle,wine wonderful strong aroma bit bitter bite still goodit worth end,3.0,1
Apothic174 Red Blend - 750ml Bottle,would give one star came clean bottle called sweet red instead get poetic grandiose blend standard practice get dash grape juice concentrate sweeten also loos star price rather look side target shelf pickup lambrusco le,2.0,1
California Roots Moscato White Wine - 750ml,delicious affordable,5.0,1
Charles Charles174 Red Blend - 750ml Bottle,smooth red aroma cocoa coffee tobacco sweet black cherry bold soft highly recommend one,5.0,1
Fancy Pants174 Sauvignon Blanc - 750ml Bottle,based positive review served fancy pant variety recent party guest loved since wine expert provide detail variety fancy pant website like sunshine glass brisk bright inviting citrus melon passion fruit aroma leading mouthwatering grapefruit zesty lime flavor hint minerality palate vibrant acidity crisp clean finish make wine versatile partner wide range foodsespecially succulent seafood mediterraneanstyle grilled vegetable salad served well chilled sauvignon blanc fun friendlythe perfect pour sunny afternoon picnic,5.0,1
Martini Rossi174 Asti Spumante Sparkling Wine - 750ml Bottle,nice fruity sweet taking sparkling wine go great mimosa try see like even guy would enjoy wedding,5.0,1
603174 Winni Amber Ale - 6pk / 12oz Cans,rich amber ale subtle noticeable hop character great beer pair food,5.0,1
603174 White Peaks Ipa - 6pk / 12oz Cans,light bodied ipa dry hopped cascade bold bright hp aroma balanced refreshing crisp ale great cookout day beach love,5.0,1
603174 White Peaks Ipa - 6pk / 12oz Cans,light bodied ipa dry hopped cascade bold bright hp aroma balanced refreshing crisp ale great cookout day beach love,5.0,1
Sofia Coppola174 Riesling - 750ml Bottle,great perfect summer day get together girl,5.0,1
California Roots Pinot Grigio White Wine - 750ml,im sure bad bottle intentionally made effervescent dont want bubble drink pinot grigio go well mozzarella string cheese cinemasins,2.0,-1
Sancho Libre174 Peach - 4pk / 12oz Cans,obsessed new drinkhowever sold every target lately,5.0,-1
Modern House174 With Love Red Blend - 750ml Bottle,excellent red wine dry real sweet red blend great go anything anytime right price point known brand market,5.0,1
Estancia174 Cabernet Sauvignon - 750ml Bottle,one best cabernet quite sometime,5.0,1
Voga Italia174 Pinot Grigio - 750ml Bottle,great buy price someone given bottle liked look much didnt want open idea nicely priced easily available finally opened bind needing white wine favorite holiday recipe hand nice smooth pinot nice flavor pleasurable palate especially love brand however bottle screw black top smaller neck cork closure beauty black cap designed reseal bottle without cork needing squeezed back ina really thoughtful design almost hate admit much impressed stopping target specifically buy house highly recommend,5.0,1
Michelob174 Ultra Light Cider Beer - 6pk / 12oz Bottles,gluten free plus lower calorie plus refreshing,5.0,1
Cabernet Shiraz - 3l Bottle - Wine Cube153,best bunch wine cube skus target wine buyer please bring back,5.0,1
Cabernet Sauvignon - 3l Bottle - Wine Cube153,like wine like idea sealed cube week drinking glass two time resized box month ago made impossible open setup properly applaud target reducing packaging isnt working,3.0,1
Risata174 Moscato D'asti - 750ml Bottle,tried share moscato astis smoothest ever tried sweet fizzy perfect got pretty bottle surprised taste try wont disappointed,5.0,1
Barefoot174 Refresh Perfectly Pink - 750ml Bottle,highly highly recommend sweet syrupy right love bubbly dont mix wine seltzer anymore,5.0,1
Tecate174 Beer - 12pk / 12oz Bottles,favorite bottle design best cheap lager,5.0,1
Bud Light174 Raz-Ber-Rita - 12pk / 8oz Cans,delicious hate flavor one taste great find store,5.0,1
California Roots Cabernet Sauvignon Red Wine - 750ml,wine amazing im avid wine drinker mom life ill continue buy sure steal keep around please another reason love target,5.0,1
Middle Sister174 Red Blend - 750ml Bottle,love dry overly sweet also good balance alcohol,5.0,1
Robert Mondavi Private Selection174 Bourbon Cabernet Sauvignon - 750ml Bottle,wine sooooo good usually dont like cabernet special fermented wine tasty stay around longlol,5.0,-1
Riesling - 3l Bottle - Wine Cube153,best boxed wine ever tasted great taste great value,5.0,1
Risata174 Pink Moscato - 750ml Bottle,love moscato purchasing next target run let chill fridge enjoy hot summer day,5.0,1
Middle Sister174 Moscato - 750ml Bottle,sissy sistafriends dinnerplanning meetingand theyre still talking loving fellowship great wine hope store bottle left shelf,4.0,1
Love Noir174 Ros233 - 750ml Bottle,great fruity dry rose,5.0,1
Handsome Devil174 Malbec - 750ml Bottle,greatest wine world course eminently drinkable wineas matter fact preferred go table wine wine personal thing pick category well balanced subtle easy sip dry without overpowering big bad cabernet good way go great paired cheese dish sauced something heavier like bernaise always bottle shelf,5.0,1
Apothic174 White Blend - 750ml Bottle,delicious white wine light crisp sweet almost good,5.0,1
Pinot Noir - 3l Bottle - Wine Cube153,bad wine worst ever try bota box sarah looking decent boxed wine,1.0,-1
Love Noir174 Pinot Noir - 750ml Bottle,wine expert mean love good red dinner cold night ticket rich dark fruity lovely hubby liked,5.0,1
Promisqous174 Red Blend - 750ml Bottle,best wine ever tasted,5.0,1
Chardonnay - 3l Bottle - Wine Cube153,fruity satisfying go chardonnay excellent product would expect pay bottle quality,5.0,1
Red Blend - 500ml Bottle - Wine Cube153,picked trip beach portable non breakable priced right didnt know expect honestly expectation high boxed wine pleasantly surprised drinkable delicious got home returned target get large wine cube box home enjoyment,5.0,1
Sauvignon Blanc - 3l Bottle - Wine Cube153,far best boxed wine ive found comparable mediumpriced bottled sauvignon blanc great buy,5.0,1
Sauvignon Blanc - 3l Bottle - Wine Cube153,far best boxed wine ive found comparable mediumpriced bottled sauvignon blanc great buy,5.0,1
California Roots Chardonnay White Wine - 750ml,taste absolutely fine chardonnay however bottle broke removing corkscrew second break far enough didnt want risk drinking risk glass shard ive bought cheaper wine like yellowtail etc never experienced bottle breaking,2.0,1
California Roots Chardonnay White Wine - 750ml,didnt find sweet everyones taste differs usually dont like sweet wine gravitate towards chardonnay sauvignon blanc felt like one buttery taste sweet citrusy taste like another reviewer stated price definitely keeper,4.0,-1
Red Blend - 3l Bottle - Wine Cube153,boyfriend brought home whim delighted tasty lasted u couple week even better,5.0,1
Disaronno174 Almond Liqueur - 750ml Bottle,love disaronno smooth texture flavor lightly sweet decadent rock little cream,4.0,1
Pinot Grigio - 500ml Bottle - Wine Cube153,im surprised good price taste like sauvignon blanc,5.0,1
California Roots Red Blend Wine - 750ml,nice light wine sure expect surprised well tasted bottle,5.0,1
